t,x,y,yaw,steer,l,r
13.15,1.294,-22.809,-0.0069,0,0,0
13.25,1.294,-22.809,-0.0069,0,0,0
13.36,-1.001,-22.761,1.5639,0,0,0
13.46,-1.001,-22.761,1.5639,0,0,0
13.56,1.294,-22.809,-0.0069,0,0,0
13.67,-1.001,-22.761,1.5639,0,0,0
13.78,-1.001,-22.761,1.5639,0,0,0
13.88,-1.001,-22.761,1.5639,0,0,0
13.99,-1.001,-22.761,1.5639,0,0,0
14.09,-1.001,-22.761,1.5639,0,0,0
14.19,-1.001,-22.761,1.5639,0,0,0
14.29,-1.001,-22.761,1.5639,0,0,0
14.4,-1.001,-22.761,1.5639,0,0,0
14.51,-1.001,-22.761,1.5639,0,0,0
14.61,-1.001,-22.761,1.5639,0,0,0
14.71,-1.001,-22.761,1.5639,0,0,0
14.81,-1.001,-22.761,1.5639,0,0,0
14.91,-1.001,-22.761,1.5639,0,0,0
15.02,-1.001,-22.761,1.5639,0,0,0
15.13,-1.001,-22.761,1.5639,0,0,0
15.24,-1.001,-22.761,1.5639,0,0,0
15.34,-1.001,-22.761,1.5639,0,0,0
15.44,-1.001,-22.761,1.5639,0,0,0
15.55,1.294,-22.809,-0.0069,0,0,0
15.65,1.294,-22.809,-0.0069,0,0,0
15.75,1.294,-22.809,-0.0069,0,0,0
15.85,-1.001,-22.761,1.5639,0,0,0
15.96,-1.001,-22.761,1.5639,0,0,0
16.06,-1.001,-22.761,1.5639,0,0,0
16.17,1.294,-22.809,-0.0069,0,0,0
16.27,1.294,-22.809,-0.0069,0,0,0
16.38,-1.001,-22.761,1.5639,0,0,0
16.48,-1.001,-22.761,1.5639,0,0,0
16.58,-1.001,-22.761,1.5639,0,0,0
16.68,-1.001,-22.761,1.5639,0,0,0
16.78,-1.001,-22.761,1.5639,0,0,0
16.88,1.294,-22.809,-0.0069,0,0,0
16.99,1.294,-22.809,-0.0069,0,0,0
17.09,1.294,-22.809,-0.0069,0,0,0
17.19,1.294,-22.809,-0.0069,0,0,0
17.3,-1.001,-22.761,1.5639,0,0,0
17.4,1.294,-22.809,-0.0069,0,0,0
17.51,-1.001,-22.761,1.5639,0,0,0
17.61,1.294,-22.809,-0.0069,0,0,0
17.71,1.294,-22.809,-0.0069,0,0,0
17.82,1.294,-22.809,-0.0069,0,0,0
17.92,1.294,-22.809,-0.0069,0,0,0
18.02,-1.001,-22.761,1.5639,0,0,0
18.13,1.294,-22.809,-0.0069,0,0,0
18.23,1.294,-22.809,-0.0069,0,0,0
18.34,-1.001,-22.761,1.5639,0,0,0
18.44,-1.001,-22.761,1.5639,0,0,0
18.55,-1.001,-22.761,1.5639,0,0,0
18.65,-1.001,-22.761,1.5639,0,0,0
18.76,-1.001,-22.761,1.5639,0,0,0
18.87,-1.001,-22.761,1.5639,0,0,0
18.97,-1.001,-22.761,1.5639,0,0,0
19.08,1.294,-22.809,-0.0069,0,0,0
19.19,-1.001,-22.761,1.5639,0,0,0
19.29,-1.001,-22.761,1.5639,0,0,0
19.4,-1.001,-22.761,1.5639,0,0,0
19.5,-1.001,-22.761,1.5639,0,0,0
19.61,-1.001,-22.761,1.5639,0,0,0
19.72,-1.001,-22.761,1.5639,0,0,0
19.82,-1.001,-22.761,1.5639,0,0,0
19.92,-1.001,-22.761,1.5639,0,0,0
20.03,-1.001,-22.761,1.5639,0,0,0
20.13,-1.001,-22.761,1.5639,0,0,0
20.24,-1.001,-22.761,1.5639,0,0,0
20.35,-1.001,-22.761,1.5639,0,0,0
20.45,-1.001,-22.761,1.5639,0,0,0
20.56,-1.001,-22.761,1.5639,0,0,0
20.66,-1.001,-22.761,1.5639,0,0,0
20.77,1.294,-22.809,-0.0069,0,0,0
20.87,1.294,-22.809,-0.0069,0,0,0
20.97,1.294,-22.809,-0.0069,0,0,0
21.08,-1.001,-22.761,1.5639,0,0,0
21.18,1.294,-22.809,-0.0069,0,0,0
21.28,1.294,-22.809,-0.0069,0,0,0
21.38,1.294,-22.809,-0.0069,0,0,0
21.49,1.294,-22.809,-0.0069,0,0,0
21.59,-1.001,-22.761,1.5639,0,0,0
21.69,1.294,-22.809,-0.0069,0,0,0
21.79,1.294,-22.809,-0.0069,0,0,0
21.9,1.294,-22.809,-0.0069,0,0,0
22.0,1.294,-22.809,-0.0069,0,0,0
22.11,-1.001,-22.761,1.5639,0,0,0
22.22,-1.001,-22.761,1.5639,0,0,0
22.32,-1.001,-22.761,1.5639,0,0,0
22.42,-1.001,-22.761,1.5639,0,0,0
22.53,-1.001,-22.761,1.5639,0,0,0
22.63,-1.001,-22.761,1.5639,0,0,0
22.74,-1.001,-22.761,1.5639,0,0,0
22.84,-1.001,-22.761,1.5639,0,0,0
22.95,-1.001,-22.761,1.5639,0,0,0
23.06,-1.001,-22.761,1.5639,0,0,0
23.16,-1.001,-22.761,1.5639,0,0,0
23.27,1.294,-22.809,-0.0069,0,0,0
23.37,1.294,-22.809,-0.0069,0,0,0
23.47,-1.001,-22.761,1.5639,0,0,0
23.57,-1.001,-22.761,1.5639,0,0,0
23.67,-1.001,-22.761,1.5639,0,0,0
23.78,-1.001,-22.761,1.5639,0,0,0
23.89,1.294,-22.809,-0.0069,0,0,0
23.99,1.294,-22.809,-0.0069,0,0,0
24.1,-1.001,-22.761,1.5639,0,0,0
24.2,-1.001,-22.761,1.5639,0,0,0
24.3,-1.001,-22.761,1.5639,0,0,0
24.4,-1.001,-22.761,1.5639,0,0,0
24.51,-1.001,-22.761,1.5639,0,0,0
24.61,-1.001,-22.761,1.5639,0,0,0
24.72,-1.001,-22.761,1.5639,0,0,0
24.82,-1.001,-22.761,1.5639,0,0,0
24.93,-1.001,-22.761,1.5639,0,0,0
25.04,-1.001,-22.761,1.5639,0,0,0
25.15,1.294,-22.809,-0.0069,0,0,0
25.25,1.294,-22.809,-0.0069,0,0,0
25.36,-1.001,-22.761,1.5639,0,0,0
